subj AGE SEX RACE EDUC WRKSTAT MARITAL EARNRS INCOME RINCOME PARTYID GUNLAW PRES16 SMALLGAP TRCOURTS
252   37   1    1   16       1       1      2     NA      NA       2     NA      1        5        7
253   61   2    1   14       4       3      0     10       6       3     NA     NA        3        2
254   58   2    2   12       7       5      1      9      NA       0     NA     NA       NA       NA
255   88   1    2   10       5       3      1      9      NA       1      1     NA       NA       NA
256   80   2    3    1       7       4      3     NA      NA       3      1     NA       NA       NA
257   36   1    3   12       1       5      4     12      12       4      1     NA        3        4
258   33   2    1   16       1       5      3     12      NA       0      1      1       NA       NA
259   81   1    1   16       5       2      1     12      NA       4      1      3       NA       NA
260   31   1    3   12       1       1      1     12      12       1     NA      1       NA       NA
261   69   2    1   16       5       1      1     12      NA       0      1      1       NA       NA
262   26   1    1   16       1       5      2     12       9       0      1      1        2        4
263   45   1    1   16       1       1      2     12      12       7     NA     NA       NA       NA
264   54   2    1   16       2       1      3     12      NA       3     NA      2        3        6
265   61   2    1   16       4       1      3     NA      12       4      1      3       NA       NA
266   19   1    1   13       6       5      2     12      NA       1     NA     NA       NA       NA
267   58   1    1   16       1       4      2     12      12       2      1      1        1        4
268   50   2    1   14       1       3      1     12      12       2     NA      1        2        5
269   36   1    2   16       1       5      1     12      12       0      1      1        3        5
270   27   2    1   12       1       5      3     12      12       1      1      3       NA       NA
271   51   1    3   12       1       5      1     12      12       2      1      2        2        8
272   48   1    1   18       1       1      3      9      NA       1      1     NA       NA       NA
273   29   2    1   14       1       5      2     12      10       1      1      1        3        0
274   65   2    1   19       1       3      1     12       9       0      1      1       NA       NA
275   67   2    1   16       5       5      1     12      12       0      1      1        3        8
276   53   1    1   16       1       1      2     12      12       1     NA     NA        4        8
277   45   1    1   18       1       1      2     NA      NA       0      1      1        3        8
278   36   2    1   15       2       3      1     12       9       1      2      1        3        5
279   60   1    1   12       1       1      2     12      12       7      1      3        5        3
280   63   2    2   16       1       1      3     NA      12       1     NA      1       NA       NA
281   52   2    1   12       1       3      1     12      12       5      1      2       NA       NA
282   34   1    1   13       1       1      2     12      12       2      1     NA        2        5
283   58   1    1   14       1       1      1     NA      12       5     NA      2        4        8
284   63   1    1   12       5       1      1     12      12       5      2      2       NA       NA
285   71   2    1   16       5       3      0     12      NA       1      1      1        2        7
286   67   2    1   12       5       1      2     12      NA       1     NA      1        2        5
287   65   2    1   18       4       3      1     12      12       5      2      1        4        6
288   39   2    1   15       1       5      1     12      12       5      1      1       NA       NA
289   46   2    1   12       1       4      1     12      NA       3     NA     NA        3        7
290   83   2    1   12       5       2      0     11      NA       0      1      1       NA       NA
291   59   1    1   17       1       3      2     12      12       5      2      2        5        2
292   63   2    1   19       1       1      2     NA      NA      NA      1     NA        3        8
293   38   2    1   12       1       5      1     12      12       1     NA      2       NA       NA
294   50   1    1   12       1       3      1     12      12       5      2      2       NA       NA
295   18   2    1   11       6       5      2      2      NA       3      1     NA        4        5
296   45   2    1   16       1       1      3     12      12       2      1      1       NA       NA
297   18   2    1   11       6       5      2     12      NA       5     NA     NA       NA       NA
298   39   1    2   20       5       5      2     NA      NA       0     NA      2       NA       NA
299   31   2    1   20       1       5      1     12      12       1      1      1       NA       NA
300   44   2    2   16       1       5      1     12      12       3      2     NA        4        4
301   46   2    2   16       1       1      3     12      12       0     NA      1       NA       NA
302   56   2    1   13       4       1      2     NA      12       6      1      2        5        3
303   37   1    1   12       1       1      2     NA      12       1      1      1       NA       NA
304   52   2    1   20       1       3      1     12      12       2     NA      1        2        7
305   69   1    1   14       2       1      2     12       4       4      1     NA        3        7
306   34   1    3   12       1       4      1     12      12       3      1     NA       NA       NA
307   25   1    1   17       1       5      3     NA      NA       4      2      2        3        7
308   33   1    3    8       1       5      3     NA      NA       3     NA     NA        4        3
309   45   2    1   12       1       3      1     11      11       5     NA      2       NA       NA
310   57   1    1   16       5       1      4     NA      NA       4      2      2        4        3
311   77   1    1   14       5       3      0     12      NA       7      2      2       NA       NA
312   29   1    3   16       1       5      1     12      12       2      2      1       NA       NA
313   58   1    1   18       1       2      1     NA      NA       0      1      1        2        6
314   42   1    1   20       1       1      2     12      12       2      2      1        2        6
315   65   1    1   13       1       3      1     12      12       1      1      1       NA       NA
316   25   2    2   16       1       5      1     12      12       4      1      1        1        3
317   76   1    1   19       5       1      0     12      NA       4      1      4       NA       NA
318   73   2    2   12       7       2      1     12      NA       1     NA      1        1        4
319   34   2    1   20       1       1      2     12      12       5     NA      2       NA       NA
320   51   1    2   12       1       1      4     12      12       0      1      1       NA       NA
321   78   2    1   14       7       1      0     11      NA       6      2      2        4        5
322   53   1    2   12       2       1      2     12       8       2      2      1       NA       NA
323   83   1    2   11       5       1      0     12      NA       1      2     NA       NA       NA
324   58   2    2    7       8       5      0      9      NA       1      2     NA        4        0
325   73   1    2   12       5       2     NA     NA      NA       6     NA      1       NA       NA
326   83   2    1   10       5       2      1      2      NA       5     NA      1       NA       NA
327   86   1    2   12       5       4      0     11      NA       2      1      1       NA       NA
328   70   2    3   14       8       2      0     11      NA       0      1      1        4        0
329   31   2    2   17       7       5      2     12      NA       1     NA      1       NA       NA
330   24   2    2   16       6       5      1     12       4       1      1      1        3        4
331   42   1    1   14       1       5      1     12      10       0     NA      1        1        7
332   34   2    1   16       1       1      2     NA      12       1      1      1        2        7
333   70   2    1   19       6       3      0     NA      NA       3     NA     NA       NA       NA
334   37   2    1   12       7       5      2     12      12       4     NA      1        4        7
335   70   1    1   18       5       1      2     12      12       6      2      2       NA       NA
336   71   1    1   12       5       1      2     12      NA       5      1     NA       NA       NA
337   26   2    1   16       1       5      1     12      12       5     NA      1        4        7
338   54   1    1   16       1       1      3     NA      NA       0      1      1        2        8
339   40   2    1   16       1       1      2     NA      12       2      1      1        3        8
340   56   2    1   16       1       3      2     NA      NA       4     NA      2        3        8
341   60   1    1   20       1       2      1     12      12       5      2      2        3        7
342   72   1    1   16       1       1      2     NA       3       7     NA      1       NA       NA
343   35   2    2   16       1       1      2     NA      12       3      1      1        3        6
344   55   1    1   18       1       1      4     NA      NA       6     NA      2        5        9
345   28   2    2   14       6       1      2     12      12       0      1      1       NA       NA
346   77   2    1   13       8       3      0      8      NA       0      1      1        2        3
347   30   2    2   12       1       5      3     NA      12       0     NA     NA       NA       NA
348   67   2    1   12       5       2      0     10      NA       2      1      1       NA       NA
